interaction_id,timestamp,hour,language,query_type,location,age_group,session_duration_sec,response_time_sec,satisfaction
a0638560-b8d0-40fa-b195-b40e2cb51ce2,2026-03-19 22:46:20.460233,19,Arabic,Ritual Guidance,Gate 23,31-45,30,1.01,5
71806f0a-e9f6-4408-8dc4-ae490793a2b1,2026-04-12 03:30:42.995425,13,Arabic,Navigation/Maps,Gate 1,18-30,25,1.56,4
c92bf9be-18dd-45ee-8446-2c6f090811c4,2026-04-04 03:15:53.965066,1,Arabic,Emergency Assistance,Gate 25,18-30,5,1.6,5
5781ad4e-1a9b-4a9d-abc7-9f85393e6e9b,2026-04-07 04:22:05.521171,2,English,Ritual Guidance,Gate 15,18-30,45,2.59,4
a44d874c-27c7-4022-8de0-195463cdd219,2026-04-04 10:20:24.528192,8,Arabic,Ritual Guidance,Gate 25,18-30,31,2.83,5
e6128d32-a941-4fc4-9a2d-976eb32df812,2026-04-02 23:20:41.731374,21,Arabic,Navigation/Maps,Gate 23,18-30,12,1.38,4
1476cf3c-0124-4d23-8638-1eaaf87b1abf,2026-04-13 21:15:00.278436,10,Turkish,Zamzam Location,Gate 15,46-60,63,1.09,3
8805ba99-6179-4e09-817a-76547e2a3a4d,2026-04-01 05:09:02.011074,6,Urdu,Ritual Guidance,Safa-Marwa,under 18,5,2.34,4
a91ed9a3-d0b6-486a-9424-7c8e105b0fdf,2026-03-21 10:25:41.842424,7,French,Emergency Assistance,Gate 23,18-30,7,2.47,3
15e266dd-62fd-4579-8450-7e68486e9165,2026-04-03 02:21:23.296668,22,Turkish,General Information,Gate 23,18-30,74,2.8,4
53770b58-baa6-4866-a34a-31c167142cbb,2026-04-01 19:35:11.393735,16,Urdu,General Information,Gate 23,under 18,92,0.98,4
e71c9fee-0bea-4791-925f-078a9d1570d4,2026-03-17 19:29:34.478281,19,Turkish,Zamzam Location,Gate 25,18-30,9,1.77,5
098dad4b-36fa-41b5-9553-4ff54aa32960,2026-04-04 15:28:00.719615,21,Urdu,Navigation/Maps,Gate 1,18-30,34,2.93,3
0441dbfe-9816-496d-986c-253dc65d9c70,2026-03-29 06:29:50.146231,19,Malayalam,Ritual Guidance,Gate 5,18-30,101,1.36,5
fbdabd4d-efeb-450b-bb64-cc1abcd6ddb5,2026-03-27 01:29:09.912214,8,Arabic,Zamzam Location,Gate 5,18-30,5,1.94,4
f57a29b5-462c-42e2-b1f7-0f15dd6bb94c,2026-03-30 19:08:03.348787,6,English,Ritual Guidance,Zamzam Station,18-30,25,2.85,5
8e4a7f7a-a726-4d4b-8a0c-cd0169fb9b42,2026-03-21 18:50:01.522273,19,Arabic,Navigation/Maps,Mataf Area,18-30,88,2.16,3
1d0e1d23-2ce6-47d7-afc6-ee5d6750af53,2026-03-27 08:38:58.487404,0,Turkish,Navigation/Maps,Safa-Marwa,18-30,32,2.24,4
6e2b3df2-923b-4955-aef2-d7ff5f654614,2026-04-09 17:22:34.865335,10,Arabic,Prayer Times,Safa-Marwa,18-30,11,2.76,5
0e6ef2a0-bd77-4b43-9557-318bc2cde932,2026-04-09 00:56:13.934087,5,Arabic,Navigation/Maps,Gate 1,18-30,18,1.03,5
aa5fff8f-21d3-4bb9-946d-e9d88dc13c33,2026-04-10 10:13:11.321395,22,English,Navigation/Maps,Hotel Lobby,18-30,17,1.03,4
172b21a6-ff52-4166-a9e8-2ca56b24b6fa,2026-03-24 21:16:46.144781,13,Turkish,Emergency Assistance,Gate 15,18-30,54,1.21,5
d5cd4af3-a1d7-4094-a17a-0c914d5b8cf9,2026-04-09 01:45:18.780864,9,English,Ritual Guidance,Gate 23,18-30,160,1.06,3
b9ee1e2d-5b4a-4197-9cf7-ea09259adabb,2026-03-20 23:04:02.588701,23,Arabic,Ritual Guidance,Hotel Lobby,18-30,13,2.42,4
09047994-0115-4a22-a065-ec5b2ab33f3e,2026-04-02 07:26:27.954040,12,Turkish,Prayer Times,Safa-Marwa,18-30,16,1.11,5
44892fd6-412d-400e-8f0b-ff91b5e84f77,2026-03-21 12:14:30.424090,7,Arabic,Emergency Assistance,Gate 5,31-45,5,1.05,5
cd68729b-3dfb-4438-8f28-68e0e9149b28,2026-03-31 18:39:11.707824,15,English,Navigation/Maps,Zamzam Station,18-30,31,2.62,4
b536caea-748b-4f2a-ab69-8a66a049cd72,2026-03-17 21:10:20.613022,4,Urdu,Prayer Times,Zamzam Station,18-30,14,2.88,5
f6f10959-23d2-4790-937a-9c054254e93c,2026-03-27 12:30:06.511227,21,English,Prayer Times,Zamzam Station,18-30,12,2.77,4
9b5ae43f-7c59-4c0f-acff-92c2618ff8b3,2026-03-19 02:12:16.148612,5,Arabic,General Information,Hotel Lobby,18-30,30,1.12,5
17d9768d-4022-4563-90d7-89c12ca1232c,2026-04-09 20:55:11.993887,23,Urdu,Navigation/Maps,Gate 23,18-30,12,0.69,4
3016844c-0694-4ab2-9eff-3df2431ec4f6,2026-04-05 23:31:58.586714,17,Arabic,Navigation/Maps,Zamzam Station,18-30,64,0.88,4
01b5e2ad-1d71-4987-9315-1784bed8a8c8,2026-03-31 12:04:47.103269,7,Arabic,Ritual Guidance,Safa-Marwa,18-30,58,1.86,4
66b3a5ca-edb6-4384-b30d-212dd5e4d241,2026-04-11 18:30:20.863407,9,Arabic,Navigation/Maps,Gate 1,31-45,45,2.41,4
12106e4a-e473-4f91-8eb1-834aa329e2f3,2026-04-07 10:51:15.597420,16,Arabic,Navigation/Maps,Safa-Marwa,31-45,34,2.88,4
cfc66ac0-c43f-4be5-a704-047135768454,2026-04-10 01:44:45.673429,4,English,Navigation/Maps,Gate 23,18-30,81,1.18,4
ffcc30d5-466e-4e76-94b8-739298d517ba,2026-04-03 20:37:06.900844,8,Arabic,Prayer Times,Safa-Marwa,31-45,9,2.6,5
7fc7fc69-17d4-42d2-90ae-e98a61960a31,2026-04-09 15:00:43.817760,3,Bengali,Navigation/Maps,Safa-Marwa,18-30,40,2.16,2
8350362f-fea4-420a-8643-e5b3027d61d0,2026-03-23 16:29:12.939569,17,Arabic,General Information,Gate 15,18-30,5,1.45,3
0170f09f-4e78-4298-9cca-89d6faa2c3b5,2026-03-21 03:28:51.121765,13,Arabic,Emergency Assistance,Safa-Marwa,18-30,11,2.88,4
5f0c8d89-9db9-4ee5-a5ce-2d14e734b808,2026-03-29 01:43:23.440279,16,Urdu,Navigation/Maps,Zamzam Station,18-30,8,2.88,3
ae4dbe23-0947-4ab2-9a86-cbc5e1e85ac2,2026-03-16 07:23:00.589643,17,Arabic,Zamzam Location,Gate 1,31-45,22,2.87,3
f7323630-bc5b-4b60-a3d9-3fcd5f5348f4,2026-03-19 09:30:37.059191,22,Arabic,Ritual Guidance,Gate 15,18-30,6,0.79,5
6c196b88-a9fb-48d3-aa49-03a0813b3968,2026-03-16 06:10:30.155207,9,Arabic,Ritual Guidance,Mataf Area,18-30,5,2.02,5
0b6fd8be-9761-4340-a73e-3382c900bc2a,2026-04-01 06:45:44.530235,22,Arabic,Emergency Assistance,Gate 25,18-30,94,0.56,4
97926725-6923-4273-80d3-c5726e96dd38,2026-04-02 22:43:48.620551,7,English,Zamzam Location,Safa-Marwa,46-60,48,1.0,4
184278a9-7324-44ea-b6f8-95a4d0394aba,2026-04-07 10:13:22.426059,19,Urdu,Ritual Guidance,Gate 25,31-45,36,2.0,3
451bf347-d85c-408e-a467-72c5542db5c6,2026-03-31 11:11:23.574854,13,Bengali,Emergency Assistance,Mataf Area,18-30,12,2.15,2
8ac183dc-9e30-4809-984d-e6482c1ca33d,2026-03-28 13:56:45.834606,4,English,Ritual Guidance,Safa-Marwa,31-45,102,0.76,5
56e3c655-548c-40f6-b0bd-69d610e1efe7,2026-03-22 08:27:21.402933,21,English,Emergency Assistance,Gate 15,18-30,45,2.33,5
7baa2fa0-adae-41d4-a286-6615f0bd02cc,2026-04-12 02:58:54.159520,8,Arabic,Emergency Assistance,Zamzam Station,31-45,19,1.66,5
717c95f4-ccb7-4c34-aad5-142b93af05e7,2026-03-30 17:34:41.164375,18,English,Navigation/Maps,Gate 23,31-45,102,0.72,5
5c09b874-3597-4b91-a6b8-372eed6e9733,2026-03-26 20:00:24.808007,21,Arabic,Navigation/Maps,Safa-Marwa,18-30,68,1.74,4
fadb2fab-b06f-486d-9244-fabfbdfd6238,2026-03-20 13:51:12.092537,16,Arabic,Navigation/Maps,Gate 25,18-30,5,2.7,5
4b4d1505-44a9-42a9-b849-4ab6e8a13803,2026-03-25 07:04:40.037174,6,Arabic,Ritual Guidance,Gate 23,18-30,102,2.3,4
766d7503-7be2-43d1-8ae5-b0ef2398f03d,2026-03-19 12:38:22.596314,15,Urdu,Prayer Times,Hotel Lobby,18-30,5,0.54,4
53e916a4-5ee0-4f9f-b2ba-bba794f20386,2026-03-18 23:53:13.729766,5,Arabic,Ritual Guidance,Mataf Area,18-30,49,1.83,4
038a1e1c-08b3-4acc-bc4f-6c20bb9c324e,2026-03-20 03:08:05.355560,0,English,Navigation/Maps,Hotel Lobby,18-30,7,1.13,3
5ca8f9a6-d1f6-4fc3-bae3-00ad0b5c28ea,2026-04-03 14:05:11.998547,14,Arabic,Ritual Guidance,Zamzam Station,46-60,52,2.23,3
99a77861-2b31-4169-83f7-28b13a633fa2,2026-03-18 17:29:02.158615,16,English,Ritual Guidance,Zamzam Station,18-30,11,2.95,5
f04b6cd0-06d6-4b6e-a448-ef40667893f0,2026-04-01 22:10:03.660972,17,Arabic,Navigation/Maps,Gate 25,under 18,12,1.84,4
c4d9460e-10ce-4744-b7ee-cc4c2a645547,2026-03-25 02:00:42.818419,8,Malayalam,Prayer Times,Gate 15,18-30,61,2.38,3
9fbae508-5d5c-4444-8273-92476500a81d,2026-03-23 14:18:05.218184,16,Arabic,Ritual Guidance,Hotel Lobby,18-30,85,0.96,2
ec950fc1-98f5-4d58-b62f-12eea4499958,2026-04-01 03:43:40.702487,16,French,Navigation/Maps,Gate 5,18-30,37,0.69,5
136a1c24-c26d-4e42-be4e-ae78b253ceb4,2026-03-18 17:55:03.608036,4,Arabic,Ritual Guidance,Gate 25,18-30,20,1.12,4
ca3300ae-e8b0-40b1-972f-b9050ab650a4,2026-03-29 03:12:51.538249,7,Arabic,Prayer Times,Gate 23,31-45,12,1.45,5
614cab42-4809-4e79-aae7-35a643e9ac99,2026-04-06 12:25:37.564641,23,Arabic,Prayer Times,Safa-Marwa,18-30,22,2.05,5
8a4628fa-9d58-4ff2-8624-66ad73ad19c1,2026-03-16 11:14:01.635361,21,English,General Information,Gate 23,18-30,44,1.16,2
71ca9fc0-080e-4c08-8984-e51ae1c5becf,2026-03-27 18:23:55.045172,19,Arabic,Prayer Times,Gate 15,under 18,31,1.63,4
6e229b45-c026-44b0-96c5-10d155751498,2026-04-01 18:42:57.799268,14,Arabic,Ritual Guidance,Gate 25,31-45,30,1.64,5
63ff8c35-6102-412e-aa4f-40cff1997844,2026-04-06 00:46:33.539612,6,French,Emergency Assistance,Gate 23,18-30,57,1.86,5
93094bfb-17ed-4f2f-9187-71c917f5333f,2026-04-13 14:43:12.503650,7,Turkish,Emergency Assistance,Gate 5,18-30,5,2.48,4
076e35ee-c9de-4033-a929-97118e57dffc,2026-03-24 11:24:36.551091,16,Urdu,General Information,Hotel Lobby,18-30,8,2.22,5
6ee6e737-0035-4e36-957b-65f7d16f8bc8,2026-03-30 12:09:03.952014,22,French,Navigation/Maps,Hotel Lobby,18-30,138,2.0,5
6979114b-4704-4c0c-9301-39a132f0f270,2026-03-20 20:10:49.546175,21,English,Prayer Times,Gate 1,18-30,20,2.9,5
46f50222-fc09-47de-bb80-c2cfe09818ee,2026-04-03 11:29:19.419631,0,English,Zamzam Location,Gate 25,18-30,118,2.41,3
489195e5-38a1-4dc8-b0c3-cb6905e270ce,2026-03-28 03:43:27.465302,11,Arabic,Navigation/Maps,Gate 25,18-30,153,1.96,5
6c42bd72-8500-476e-94c7-0b4b313f7739,2026-04-10 16:31:12.525958,23,Arabic,Ritual Guidance,Mataf Area,18-30,86,1.3,3
91f7ce3d-b5ad-4ff7-9961-431ed94bc71a,2026-03-26 09:52:15.647058,8,Arabic,Navigation/Maps,Hotel Lobby,18-30,21,2.86,5
c351109f-a3e1-4e4a-a306-34c6062033c1,2026-03-30 11:28:17.218392,20,English,Navigation/Maps,Mataf Area,18-30,17,0.79,5
ed92af31-9dfc-446e-8a4a-47edb3e7bada,2026-03-15 22:24:11.143342,6,Turkish,Emergency Assistance,Gate 1,18-30,36,1.86,4
94dedeb3-d647-4d77-80f5-0ad9ec6c8f0d,2026-03-16 16:03:18.120892,22,Arabic,Navigation/Maps,Hotel Lobby,18-30,53,2.4,3
f82d973e-9e11-456b-89ce-ec9ec31ae7c6,2026-04-11 08:57:01.340209,14,Arabic,General Information,Hotel Lobby,46-60,5,1.71,1
190b8095-ac9c-4e73-b17a-8dfa491141ab,2026-03-23 04:25:05.956323,15,English,Emergency Assistance,Gate 15,18-30,207,0.53,4
1de6a6c2-b2a8-44ba-a458-bacc13586c4d,2026-03-20 04:33:30.558313,5,Arabic,Emergency Assistance,Gate 5,18-30,32,0.79,5
97bb6f46-8919-4ee1-b559-d8dd795826da,2026-03-22 22:55:29.577942,21,Arabic,Prayer Times,Zamzam Station,31-45,60,1.54,4
0bd97e2f-898d-44e7-a879-d6978163cce3,2026-03-23 13:36:13.168722,17,Arabic,Navigation/Maps,Gate 15,18-30,54,2.8,4
a48551cd-aa64-4220-bad8-8541e7c21d19,2026-04-08 14:01:51.572486,9,Turkish,General Information,Gate 25,31-45,15,2.64,4
c57f851f-cd46-4797-ad9d-4710e867af68,2026-04-07 11:16:52.712450,19,Urdu,Ritual Guidance,Gate 1,18-30,74,1.25,4
85beb401-666f-4e44-8a79-d7e2c566df49,2026-03-16 14:56:36.871906,20,Bengali,Navigation/Maps,Gate 15,18-30,110,1.71,4
9f0d6f0a-8ad3-45db-9280-9712354ce677,2026-03-25 04:19:28.883384,13,Urdu,Navigation/Maps,Mataf Area,31-45,31,2.95,3
30ea0744-16d9-4447-b7df-ba13cede3cd0,2026-03-26 05:03:39.435543,19,Arabic,General Information,Safa-Marwa,under 18,47,2.36,5
c18ad660-4718-4278-b68d-e0e05b8fd95a,2026-04-08 13:59:38.936819,17,Urdu,Navigation/Maps,Gate 15,18-30,71,0.59,4
ee1c73f4-be7c-4a13-8a6e-53b9cbe19080,2026-04-01 07:07:30.366094,21,English,General Information,Hotel Lobby,18-30,18,2.78,1
a0953bcb-84b7-4a6c-9b2f-361b4c5c542e,2026-03-21 15:57:43.705853,9,Arabic,General Information,Gate 15,18-30,5,2.45,4
08f73e6e-25b9-40a1-9d6c-d7f991a46bfe,2026-03-16 11:21:14.876920,14,English,Navigation/Maps,Gate 5,31-45,5,2.63,5
e8400469-1388-470c-a992-4706786452fc,2026-03-20 01:49:57.963414,12,Arabic,Navigation/Maps,Hotel Lobby,31-45,35,0.59,2
5aa40ef9-3bdb-424c-b9e9-964c67138a81,2026-03-29 23:27:41.153690,7,English,General Information,Gate 23,31-45,40,1.58,2
199a78d8-e87c-41ce-a77a-02fce9931775,2026-03-20 06:26:35.888463,2,English,General Information,Hotel Lobby,18-30,5,1.25,1
7c03e299-39da-4150-abc5-dd73404e4c6e,2026-04-06 15:42:09.051154,20,Arabic,Ritual Guidance,Mataf Area,18-30,20,0.86,4
292c7ee9-398e-4376-8441-38aa634bdc83,2026-04-05 06:21:57.692671,5,English,Emergency Assistance,Gate 15,18-30,33,2.02,4
0838cd42-8ea4-4b27-b704-16a9813cba46,2026-04-12 04:41:42.113911,18,English,Navigation/Maps,Gate 15,18-30,10,2.09,4
75a4f335-1f9c-463c-90f6-9835fddcaf01,2026-03-18 17:01:39.068468,16,English,General Information,Hotel Lobby,46-60,5,2.19,3
b9b08911-1806-4e1b-b211-04b0512d91cc,2026-03-27 19:30:30.504459,4,Arabic,Navigation/Maps,Gate 25,18-30,34,1.56,4
0d862b09-45d3-48d9-a48d-0ef6515fd7bd,2026-04-02 11:13:40.635887,14,Urdu,Ritual Guidance,Safa-Marwa,31-45,45,0.77,4
6d1b748b-c3d6-4bab-91bb-5bf91fe84242,2026-03-19 19:40:19.317044,18,Arabic,Ritual Guidance,Gate 25,under 18,167,2.58,4
ffb5a543-3ad8-45fe-88eb-34d4fa6092dc,2026-03-23 19:47:37.884832,13,Arabic,General Information,Gate 1,46-60,17,2.36,5
201afb06-1db1-4276-8d95-5501e81c7594,2026-03-17 15:20:20.309659,19,Turkish,Emergency Assistance,Gate 23,18-30,14,1.38,5
9a121a03-9a39-45e2-9427-8c4e74bc6365,2026-03-30 00:09:59.650384,11,English,Prayer Times,Gate 15,18-30,5,2.76,5
8fbc63b6-4442-4cbb-b940-034e4598ed7c,2026-04-08 01:53:49.513204,1,Arabic,Navigation/Maps,Mataf Area,31-45,147,0.73,4
9664feb5-3168-4076-9c91-ce1c77a9036a,2026-04-07 04:23:36.204090,20,English,Ritual Guidance,Gate 15,31-45,53,2.69,4
1da35169-3bf2-4a3e-acd4-93e50481b745,2026-04-07 13:52:54.270466,10,Arabic,Ritual Guidance,Gate 15,18-30,8,2.56,4
cf2e38a5-e4e8-4794-a9ac-784581ff8554,2026-03-22 20:32:40.293098,5,Urdu,Prayer Times,Mataf Area,31-45,12,1.67,2
648d51b3-8c2a-4d4e-87a3-f31e17bfab7e,2026-04-02 00:38:45.975275,14,Urdu,Ritual Guidance,Safa-Marwa,46-60,56,2.51,4
d26e19c6-0781-48a3-a70b-b085e42f5352,2026-04-01 07:46:41.801203,16,Urdu,Ritual Guidance,Zamzam Station,18-30,14,1.42,5
4793f296-a96b-4225-bf25-cb928f7dd16b,2026-04-07 16:36:03.653557,22,Arabic,Navigation/Maps,Mataf Area,18-30,60,1.08,1
e044e7fd-c68c-413e-9e85-66b18072c84a,2026-03-17 13:15:23.729442,14,Turkish,Prayer Times,Gate 23,18-30,42,2.09,4
e89470f9-a3a5-491c-a2ef-b4f48ae6bbe4,2026-03-16 15:19:26.111905,10,English,Prayer Times,Gate 5,18-30,12,2.87,4
517813f2-4d24-4f48-ad87-13481a37ff1a,2026-03-27 03:47:59.470774,9,Arabic,Ritual Guidance,Zamzam Station,18-30,63,1.63,5
17177631-1f14-4bbd-a7f6-ada65419131f,2026-04-12 15:10:17.675048,0,English,General Information,Safa-Marwa,18-30,5,2.32,5
8848029c-db35-4cc5-b4fd-c058c482f08c,2026-03-17 07:09:58.224735,3,English,Emergency Assistance,Safa-Marwa,46-60,5,1.2,5
f168569d-6391-4e4a-979b-6a0c7a108cf6,2026-03-21 06:41:40.874318,20,Arabic,Navigation/Maps,Gate 23,31-45,54,0.75,5
a8f4fe3f-ad7f-45d8-b3c4-cb858a542ae7,2026-04-02 22:23:48.567458,12,Arabic,Zamzam Location,Mataf Area,18-30,5,1.19,5
552d011a-fc60-41ed-b5f0-9b1d9d0f4527,2026-04-14 18:53:03.299211,12,French,Emergency Assistance,Gate 5,18-30,28,2.1,4
fe3aa08e-42d5-47a9-8c72-1877561d07af,2026-04-09 04:33:19.978308,6,Arabic,Emergency Assistance,Gate 23,above 60,25,2.47,3
06d85e34-ea99-497c-a2ac-0e8233d67ce4,2026-03-23 08:31:27.699725,10,Urdu,Prayer Times,Gate 23,31-45,43,1.08,5
13617cd0-e924-4480-9b07-9e3704569b8c,2026-04-11 09:44:28.706674,16,Urdu,Prayer Times,Gate 25,31-45,5,0.86,3
4f120113-7413-4088-af4b-76efacb555cb,2026-03-27 02:25:15.925824,9,Arabic,Ritual Guidance,Gate 1,18-30,44,1.4,5
8877a1c7-c12f-4561-8e02-001c1755b98f,2026-04-02 21:52:23.159984,13,English,Ritual Guidance,Gate 25,18-30,87,2.35,4
06ea76fd-0791-48e0-9dd9-3aac09bc5762,2026-03-29 16:05:17.455925,16,English,Navigation/Maps,Mataf Area,18-30,8,0.77,4
f85d17dc-6791-4a0f-b63e-2a12f7dc48e8,2026-03-27 11:17:41.024951,4,French,Ritual Guidance,Zamzam Station,18-30,46,2.11,2
caff2309-1b5e-44b7-85b9-1de61cc7ab4d,2026-03-31 20:05:07.443367,1,Bengali,Emergency Assistance,Safa-Marwa,18-30,39,1.73,5
e1029d04-a55b-4cc3-b8ed-93c8ba546ee8,2026-03-26 10:49:58.431172,22,Arabic,Ritual Guidance,Gate 15,18-30,38,1.19,5
7ee7756d-e65d-49b9-b691-51a7e69448b9,2026-04-13 08:30:28.549472,10,Arabic,Navigation/Maps,Zamzam Station,18-30,46,1.76,4
